num;edad;genero;clase_social;1;2;3;4;5;6;7;8;9;10;Target
1;27;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
2;33;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
3;26;Masculino;Media;SI;SI;NO;NO;NO;SI;NO;NO;SI;NO;NO
4;22;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
5;27;Masculino;Media;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO
6;25;Femenino;Media;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
7;23;Masculino;Media;SI;NO;NO;NO;SI;NO;NO;NO;SI;NO;NO
8;23;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
9;27;Femenino;Media;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
10;34;Femenino;Media;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
11;24;Femenino;Media;NO;SI;SI;NO;NO;NO;SI;NO;SI;NO;NO
12;28;Masculino;Media;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
13;24;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
14;20;Femenino;Media;SI;SI;NO;NO;NO;SI;SI;NO;SI;NO;NO
15;21;Femenino;Media;NO;NO;NO;NO;NO;SI;NO;NO;SI;NO;NO
16;27;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
17;22;Masculino;Media;NO;NO;NO;NO;NO;SI;SI;NO;NO;NO;NO
18;27;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
19;22;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
20;19;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;SI;SI;SI;NO
21;51;Masculino;Media;SI;NO;SI;NO;SI;NO;NO;NO;SI;NO;NO
22;33;Masculino;Baja;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI
23;25;Femenino;Media;NO;NO;NO;NO;NO;SI;NO;NO;SI;NO;NO
24;27;Femenino;Media;SI;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
25;28;Masculino;Media;SI;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
26;28;Masculino;Media;SI;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
27;24;Femenino;Media;NO;NO;SI;NO;NO;NO;NO;NO;SI;NO;NO
28;24;Masculino;Media;SI;SI;SI;NO;SI;SI;NO;NO;SI;NO;SI
29;35;Femenino;Media;NO;SI;SI;NO;NO;SI;SI;NO;SI;NO;NO
30;24;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
31;40;Masculino;Baja;SI;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
32;25;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
33;27;Femenino;Media;NO;SI;SI;NO;NO;NO;SI;NO;SI;NO;NO
34;27;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
35;29;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
36;14;Femenino;Alta;SI;SI;NO;NO;NO;SI;SI;NO;NO;NO;NO
37;24;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
38;26;Masculino;Media;SI;SI;NO;NO;NO;NO;NO;SI;SI;NO;NO
39;50;Masculino;Baja;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI
40;20;Masculino;Alta;SI;NO;SI;NO;SI;SI;SI;SI;SI;SI;SI
41;36;Masculino;Media;SI;NO;SI;SI;SI;SI;SI;NO;SI;SI;SI
42;39;Masculino;Alta;SI;NO;NO;NO;SI;SI;SI;NO;NO;NO;SI
43;27;Masculino;Alta;SI;NO;NO;NO;SI;SI;SI;NO;SI;NO;NO
44;49;Masculino;Media;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI
45;46;Masculino;Media;SI;NO;SI;NO;SI;SI;SI;SI;SI;NO;SI
46;42;Masculino;Media;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
47;15;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
48;30;Masculino;Media;SI;NO;SI;SI;SI;NO;SI;SI;SI;NO;NO
49;33;Masculino;Alta;SI;NO;NO;SI;SI;SI;SI;NO;SI;SI;SI
50;28;Masculino;Alta;SI;NO;NO;SI;SI;SI;SI;NO;SI;SI;SI
51;29;Masculino;Baja;NO;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
52;15;Femenino;Media;NO;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
53;42;Masculino;Baja;NO;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI
54;15;Femenino;Media;NO;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
55;22;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
56;25;Masculino;Media;SI;NO;NO;NO;NO;SI;SI;NO;SI;SI;NO
57;24;Femenino;Media;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO
58;18;Femenino;Media;NO;SI;NO;NO;NO;SI;NO;NO;SI;NO;NO
59;26;Masculino;Baja;SI;NO;NO;NO;NO;SI;NO;NO;SI;SI;NO
60;26;Femenino;Media;SI;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO
61;12;Femenino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
62;25;Femenino;Media;NO;SI;SI;SI;NO;SI;SI;NO;SI;NO;SI
63;14;Femenino;Alta;SI;SI;NO;NO;NO;SI;SI;NO;NO;NO;NO
64;26;Femenino;Media;NO;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
65;28;Masculino;Media;NO;NO;SI;NO;NO;NO;NO;NO;SI;NO;NO
66;24;Femenino;Media;SI;SI;NO;NO;NO;SI;SI;NO;NO;NO;NO
67;42;Femenino;Media;NO;SI;NO;NO;SI;NO;NO;SI;SI;NO;NO
68;50;Femenino;Media;NO;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO
69;25;Femenino;Media;SI;SI;NO;NO;NO;NO;NO;NO;SI;NO;NO
70;26;Femenino;Media;SI;SI;NO;NO;NO;SI;NO;NO;SI;NO;NO
71;26;Femenino;Media;SI;SI;SI;NO;NO;SI;SI;NO;SI;NO;NO
72;14;Femenino;Alta;SI;SI;NO;NO;NO;SI;SI;NO;NO;NO;NO
73;29;Femenino;Media;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO
74;33;Masculino;Media;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
75;33;Masculino;Media;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
76;30;Masculino;Media;NO;NO;NO;NO;NO;SI;NO;NO;SI;NO;NO
77;28;Masculino;Baja;NO;SI;SI;NO;NO;SI;SI;NO;SI;NO;SI
78;22;Masculino;Media;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
79;26;Femenino;Media;SI;SI;SI;NO;NO;SI;SI;NO;NO;SI;NO
80;24;Masculino;Baja;NO;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO
81;27;Femenino;Media;NO;NO;SI;NO;NO;NO;SI;NO;SI;NO;NO
82;39;Masculino;Media;NO;SI;NO;NO;NO;SI;NO;SI;SI;NO;NO
83;25;Femenino;Media;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
84;30;Masculino;Media;SI;NO;NO;NO;NO;SI;NO;NO;SI;SI;NO
85;24;Femenino;Media;NO;NO;NO;NO;NO;SI;NO;NO;SI;NO;NO
86;19;Femenino;Media;NO;NO;NO;NO;SI;NO;SI;NO;SI;NO;NO
87;25;Femenino;Media;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO
88;23;Masculino;Media;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
89;24;Femenino;Media;SI;SI;SI;NO;NO;SI;NO;NO;SI;NO;SI
90;28;Femenino;Baja;SI;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
